index,pred,y_test
244,-4.82E+06,1.00E-04
245,7.63E+06,1.00E-04
246,-5.29E+05,5.31E+06
247,-5.37E+06,1.00E-04
248,1.19E+07,1.05E+07
249,-4.90E+06,1.00E-04
250,-4.99E+06,1.00E-04
251,-4.30E+06,1.00E-04
252,7.42E+06,1.00E-04
253,2.04E+07,1.00E-04
254,-5.31E+06,1.00E-04
255,-4.99E+06,1.00E-04
256,-4.77E+06,1.00E-04
257,-3.16E+06,5.00E+05
258,7.22E+06,1.00E-04
259,4.34E+06,1.00E-04
260,-3.07E+06,1.00E-04
261,-6.10E+05,1.00E-04
262,1.63E+08,1.22E+08
263,-5.13E+06,1.00E-04
264,-4.30E+06,3.86E+04
265,5.86E+06,1.00E-04
266,-3.77E+06,1.00E-04
267,1.80E+07,1.00E-04
268,-1.14E+06,1.00E-04
269,-4.28E+06,1.00E-04
270,-5.94E+06,1.00E-04
271,3.14E+07,7.59E+06
272,-5.26E+06,1.00E-04
273,2.19E+07,4.50E+07
274,1.18E+06,1.00E-04
275,-2.09E+06,1.00E-04
276,1.04E+07,1.00E-04
277,-4.43E+06,1.00E-04
278,1.09E+06,1.00E-04
279,-4.68E+06,1.00E-04
280,-4.63E+06,1.00E-04
281,1.44E+08,1.19E+08
282,-1.92E+05,1.00E-04
283,-5.08E+06,1.00E-04
284,-3.22E+06,1.00E-04
285,-4.25E+06,1.00E-04
286,9.84E+06,1.00E-04
287,1.39E+08,2.13E+08
288,9.10E+06,1.00E-04
289,-4.23E+06,1.00E-04
290,-3.54E+06,1.00E-04
291,-5.06E+06,1.00E-04
292,-3.66E+06,1.00E-04
293,-4.16E+06,1.00E-04
294,-9.93E+05,1.00E-04
295,-1.61E+06,1.00E-04
296,-4.54E+06,1.00E-04
297,2.06E+07,1.00E-04
298,4.26E+06,1.00E-04
299,2.02E+07,3.50E+07
300,-4.50E+06,1.00E-04
301,2.95E+07,1.71E+07
302,-3.02E+05,7.40E+06
303,2.65E+08,3.11E+08
304,-4.00E+06,1.00E-04
305,-3.85E+06,1.00E-04
306,-3.48E+06,1.00E-04
307,-5.05E+06,1.00E-04
308,-4.44E+06,1.00E-04
309,-5.94E+06,1.00E-04
310,-5.28E+06,1.00E-04
311,1.77E+06,1.00E-04
312,2.67E+06,8.10E+04
313,7.85E+06,1.00E-04
314,-4.31E+06,1.00E-04
315,-5.24E+06,1.00E-04
316,-1.93E+06,1.00E-04
317,8.58E+07,6.08E+07
318,-4.07E+06,1.00E-04
319,-1.49E+06,1.00E-04
320,-5.94E+06,1.00E-04
321,-5.89E+06,1.00E-04
322,-4.23E+06,1.00E-04
323,-4.62E+06,1.00E-04
324,-2.89E+06,1.00E-04
325,-4.71E+06,1.00E-04
326,4.86E+06,4.95E+05
327,-4.43E+06,1.00E-04
328,-4.04E+06,1.00E-04
329,-4.10E+06,1.00E-04
330,1.74E+07,1.00E-04
331,-2.11E+06,1.00E-04
332,-3.18E+06,1.00E-04
333,-5.44E+06,1.00E-04
334,-4.69E+06,1.00E-04
335,-5.20E+06,1.00E-04
336,-1.12E+06,1.00E-04
337,-4.99E+06,1.00E-04
338,-6.82E+05,4.56E+06
339,-1.98E+06,1.00E-04
340,1.37E+06,1.00E-04
341,-5.62E+06,1.00E-04
342,-4.65E+06,1.00E-04
343,4.83E+05,1.00E-04
344,-2.76E+06,1.00E-04
345,-4.90E+06,1.00E-04
346,-3.74E+06,1.00E-04
347,-5.94E+06,1.00E-04
348,-8.74E+05,1.00E-04
349,5.65E+06,1.00E-04
350,-4.09E+06,1.00E-04
351,-5.93E+06,1.00E-04
352,-5.56E+06,1.00E-04
353,-1.68E+06,1.00E-04
354,-3.81E+06,1.00E-04
355,-2.48E+06,1.00E-04
356,-2.84E+06,1.00E-04
357,-4.72E+06,1.00E-04
358,-5.28E+06,1.00E-04
359,-2.17E+06,1.00E-04
360,-5.47E+06,1.00E-04
361,-5.40E+06,1.00E-04
362,-5.07E+06,1.00E-04
363,-3.18E+06,1.00E-04
364,-3.73E+06,1.00E-04
365,-2.58E+06,1.00E-04
366,3.62E+06,1.00E-04
367,-5.04E+06,1.00E-04
368,-2.99E+04,1.00E-04
369,-5.69E+06,1.00E-04
370,9.51E+06,1.00E-04
371,2.23E+06,7.31E+06
372,-3.97E+06,1.00E-04
373,-4.45E+06,1.00E-04
374,-4.56E+06,1.69E+07
375,-5.33E+06,1.00E-04
376,-2.05E+06,1.00E-04
377,-5.86E+06,1.00E-04
378,-5.13E+06,1.00E-04
379,-5.10E+06,1.00E-04
380,3.11E+07,2.37E+07
381,-3.16E+06,1.00E-04
382,-4.43E+06,1.00E-04
383,-4.35E+06,1.00E-04
384,-5.21E+06,1.00E-04
385,-5.94E+06,1.00E-04
386,-3.62E+06,1.00E-04
387,-1.77E+06,1.00E-04
388,1.60E+08,3.08E+07
389,1.32E+07,6.53E+06
390,-5.94E+06,1.00E-04
391,5.13E+04,1.00E-04
392,4.05E+07,5.94E+05
393,5.30E+07,5.60E+07
394,-4.71E+06,1.00E-04
395,1.48E+07,1.00E-04
396,7.82E+07,1.20E+07
397,-5.02E+06,1.00E-04
398,1.57E+07,1.00E-04
399,-4.25E+06,1.00E-04
400,4.45E+06,1.00E-04
401,-4.99E+06,1.00E-04
402,1.23E+07,1.00E-04
403,1.69E+07,1.00E-04
404,-3.44E+06,1.00E-04
405,-1.99E+06,1.00E-04
406,-4.27E+06,1.00E-04
407,3.31E+07,3.46E+05
408,2.10E+07,1.00E-04
409,4.84E+06,1.00E-04
410,2.78E+06,1.00E-04
411,-5.09E+06,1.00E-04
412,2.08E+07,1.00E-04
413,-5.15E+06,1.00E-04
414,-5.41E+06,1.00E-04
415,3.68E+06,1.00E-04
416,-2.74E+06,1.00E-04
417,-4.85E+06,1.00E-04
418,2.33E+06,1.00E-04
419,1.92E+07,1.00E-04
420,-3.77E+06,1.00E-04
421,2.06E+07,4.58E+05
422,2.08E+08,2.58E+08
423,-3.23E+06,1.00E-04
424,-1.47E+06,1.00E-04
425,-3.83E+06,1.00E-04
426,8.15E+06,1.00E-04
427,6.79E+06,5.74E+06
428,6.39E+06,1.00E-04
429,1.13E+07,1.00E-04
430,-4.83E+06,1.00E-04
431,-5.92E+06,1.00E-04
432,4.14E+06,1.00E-04
433,-3.04E+06,1.00E-04
434,2.05E+07,1.00E-04
435,-1.29E+06,1.00E-04
436,-4.15E+06,1.00E-04
437,-1.66E+06,1.00E-04
438,-4.47E+06,1.00E-04
439,5.76E+07,1.45E+08
440,-4.66E+06,1.00E-04
441,-4.08E+06,1.00E-04
442,5.08E+06,1.00E-04
443,-3.45E+06,1.00E-04
444,-5.92E+06,1.00E-04
445,4.49E+07,1.00E-04
446,-3.36E+06,1.00E-04
447,-2.58E+06,1.00E-04
448,8.43E+06,1.00E-04
449,9.95E+06,1.00E-04
450,5.21E+06,1.00E-04
451,-1.34E+06,1.00E-04
452,-9.77E+05,1.00E-04
453,-3.33E+06,1.00E-04
454,-5.92E+06,1.00E-04
455,-5.36E+06,1.00E-04
456,1.47E+07,1.00E-04
457,-3.26E+06,1.00E-04
458,-5.22E+06,1.00E-04
459,-2.91E+06,1.00E-04
460,-4.50E+06,1.00E-04
461,-2.44E+06,1.00E-04
462,-5.25E+06,1.00E-04
463,5.08E+07,5.55E+07
464,1.04E+08,7.54E+07
465,-4.40E+06,2.86E+05
466,-3.30E+06,1.00E-04
467,-2.89E+06,1.00E-04
468,4.50E+08,2.99E+08
469,-1.46E+06,1.00E-04
470,-3.08E+06,1.00E-04
471,8.39E+06,1.00E-04
472,-1.46E+06,1.00E-04
473,-4.83E+06,1.00E-04
474,-5.36E+06,1.00E-04
475,1.56E+07,1.00E-04
476,-4.97E+06,1.00E-04
477,-1.89E+06,1.00E-04
478,1.95E+07,8.64E+06
479,-4.29E+06,3.05E+05
480,-2.66E+06,1.00E-04
481,-4.69E+06,1.00E-04
482,-2.58E+05,1.00E-04
483,1.33E+05,1.00E-04
484,-5.19E+06,1.00E-04
485,1.27E+07,1.00E-04
486,-1.59E+06,1.00E-04
487,1.46E+07,1.00E-04
488,1.22E+07,1.00E-04
489,-3.61E+06,1.00E-04
490,6.79E+07,1.73E+08
491,-5.69E+06,1.00E-04
492,4.18E+07,5.17E+07
493,-5.93E+06,1.00E-04
494,-5.42E+06,1.00E-04
495,3.82E+06,1.14E+07
496,4.49E+06,1.00E-04
497,-4.84E+06,1.00E-04
498,-1.93E+06,1.00E-04
499,-5.15E+06,1.00E-04
500,-4.07E+06,1.00E-04
501,3.98E+06,1.00E-04
502,-2.28E+06,1.00E-04
503,-6.24E+05,1.00E-04
504,-3.21E+05,1.00E-04
505,-5.21E+06,1.00E-04
506,-4.16E+06,1.00E-04
507,-5.94E+06,1.00E-04
508,-5.01E+06,1.00E-04
509,-2.87E+06,1.00E-04
510,5.46E+06,3.59E+06
511,-3.64E+06,1.00E-04
512,-3.19E+06,1.00E-04
513,-4.62E+06,1.00E-04
514,-4.59E+06,1.00E-04
515,-4.86E+06,1.00E-04
516,3.38E+07,1.00E-04
517,-5.13E+06,1.00E-04
518,2.03E+08,2.27E+08
519,-3.59E+06,1.00E-04
520,6.09E+07,5.53E+06
521,-3.26E+06,1.00E-04
522,-5.03E+06,1.00E-04
523,-5.94E+06,1.00E-04
524,-2.77E+06,1.00E-04
525,-1.85E+06,1.00E-04
526,-5.43E+06,1.00E-04
527,4.03E+07,3.64E+06
528,-4.09E+06,1.00E-04
529,-4.92E+06,1.00E-04
530,1.19E+07,6.15E+06
531,-3.12E+06,1.00E-04
532,1.72E+07,1.00E-04
533,1.21E+07,1.00E-04
534,-5.82E+06,1.00E-04
535,-4.08E+06,1.00E-04
536,-2.15E+05,1.00E-04
537,-2.34E+06,1.00E-04
538,-5.51E+06,1.00E-04
539,-4.79E+06,1.00E-04
540,-2.36E+06,1.00E-04
541,-5.94E+06,1.00E-04
542,-1.65E+06,1.00E-04
543,-1.00E+05,1.00E-04
544,-5.13E+06,1.00E-04
545,-4.85E+06,1.00E-04
546,-3.20E+06,1.00E-04
547,1.92E+07,3.00E+07
548,-2.18E+06,1.00E-04
549,-5.92E+06,1.00E-04
550,-3.90E+06,1.00E-04
551,2.35E+08,9.71E+08
552,1.73E+06,1.00E-04
553,-5.26E+06,1.00E-04
554,-2.09E+06,1.00E-04
555,-2.25E+05,1.00E-04
556,2.18E+06,1.00E-04
557,8.34E+07,6.83E+07
558,-2.51E+06,1.59E+05
559,-3.58E+06,1.00E-04
560,-4.31E+06,1.00E-04
561,-5.94E+06,1.00E-04
562,-4.32E+06,1.00E-04
563,-4.34E+06,1.00E-04
564,-1.71E+06,1.00E-04
565,-1.09E+06,1.00E-04
566,-5.94E+06,1.00E-04
567,-5.36E+06,1.00E-04
568,-5.22E+06,1.00E-04
569,-4.02E+06,1.00E-04
570,-5.94E+06,1.00E-04
571,-1.69E+06,1.00E-04
572,-1.94E+06,1.00E-04
573,1.15E+07,1.00E-04
574,-3.32E+06,1.00E-04
575,2.04E+07,1.00E-04
576,-4.79E+06,1.00E-04
577,2.05E+06,1.00E-04
578,5.67E+07,1.00E-04
579,-4.11E+06,1.00E-04
580,-5.41E+06,1.00E-04
581,1.60E+08,7.36E+07
582,-5.67E+06,1.00E-04
583,-5.42E+06,1.00E-04
584,-5.91E+06,1.00E-04
585,-2.50E+06,1.00E-04
586,-4.89E+06,1.00E-04
587,-2.79E+05,1.00E-04
588,2.80E+06,1.00E+07
589,-5.08E+06,1.00E-04
590,-2.69E+06,1.00E-04
591,7.22E+06,1.00E-04
592,-5.36E+06,1.00E-04
593,3.69E+07,1.00E-04
594,-3.59E+06,1.00E-04
595,-4.78E+06,1.00E-04
596,9.86E+06,1.00E-04
597,-4.13E+06,1.00E-04
598,1.06E+07,1.00E-04
599,-4.65E+06,1.00E-04
600,-2.64E+06,1.00E-04
601,1.32E+07,1.00E-04
602,-3.74E+06,1.00E-04
603,-2.89E+06,1.00E-04
604,-4.46E+06,1.00E-04
605,-5.84E+06,1.00E-04
606,4.51E+07,4.44E+06
607,-5.29E+06,1.00E-04
608,1.65E+07,1.00E-04
609,-1.63E+06,1.00E-04
610,-4.95E+06,1.00E-04
611,1.09E+08,8.54E+07
612,-5.94E+06,1.00E-04
613,1.78E+07,1.00E-04
614,1.58E+07,1.00E-04
615,1.50E+06,1.00E-04
616,1.21E+08,1.12E+07
617,1.91E+08,3.79E+08
618,-5.94E+06,1.00E-04
619,-5.10E+06,1.00E-04
620,-2.61E+06,1.00E-04
621,-4.52E+06,1.00E-04
622,-4.18E+06,4.74E+05
623,-4.28E+06,1.00E-04
624,-9.80E+04,1.00E-04
625,1.63E+06,1.00E-04
626,-5.78E+05,1.00E-04
627,-5.55E+06,1.00E-04
628,-2.32E+06,1.00E-04
629,-3.03E+06,1.00E-04
630,-1.83E+06,1.00E-04
631,-4.79E+06,1.00E-04
632,-4.88E+06,1.00E-04
633,-5.83E+05,9.57E+04
634,-5.03E+06,1.00E-04
635,1.05E+06,1.00E-04
636,-2.42E+06,1.00E-04
637,-5.49E+06,1.00E-04
638,-5.15E+06,1.00E-04
639,-4.38E+06,1.00E-04
640,2.23E+06,1.00E-04
641,-4.22E+06,1.00E-04
642,-3.18E+06,1.00E-04
643,-3.53E+06,1.00E-04
644,-4.39E+06,5.27E+05
645,1.18E+06,1.00E-04
646,-2.98E+06,1.00E-04
647,-4.72E+06,1.00E-04
648,-5.05E+06,1.00E-04
649,8.70E+07,2.07E+08
650,-4.50E+06,1.00E-04
651,-5.29E+06,1.00E-04
652,-4.82E+06,1.00E-04
653,-3.26E+06,1.00E-04
654,1.18E+06,1.00E-04
655,-5.19E+06,1.00E-04
656,2.68E+07,1.00E-04
657,5.41E+06,7.09E+06
658,-3.30E+05,1.00E-04
659,-2.67E+06,4.47E+04
660,-4.47E+06,1.00E-04
661,1.73E+06,1.00E-04
662,7.29E+05,1.00E-04
663,-4.54E+06,1.00E-04
664,-5.94E+06,1.00E-04
665,-4.69E+06,1.00E-04
666,-4.65E+06,1.00E-04
667,-2.67E+06,1.00E-04
668,-3.90E+06,1.00E-04
669,-1.57E+05,1.00E-04
670,2.21E+07,3.22E+06
671,8.63E+06,1.00E-04
672,-4.80E+06,1.00E-04
673,5.21E+06,5.00E+06
674,4.17E+06,6.74E+06
675,-1.48E+06,2.50E+01
676,-2.02E+06,1.00E-04
677,2.04E+07,1.95E+07
678,-5.11E+06,1.00E-04
679,-1.92E+06,1.00E-04
680,1.63E+07,1.00E-04
681,-4.13E+06,1.00E-04
682,-5.08E+06,1.00E-04
683,-4.35E+06,1.00E-04
684,-4.46E+06,1.00E-04
685,-2.45E+06,1.00E-04
686,5.77E+06,1.42E+07
687,-4.72E+06,1.00E-04
688,6.34E+06,1.00E-04
689,-5.01E+06,1.00E-04
690,-3.87E+06,1.00E-04
691,1.20E+07,1.00E-04
692,-3.81E+06,1.00E-04
693,-5.31E+06,1.00E-04
694,1.03E+08,1.17E+08
695,-4.14E+06,1.00E-04
696,7.79E+07,1.41E+08
697,-4.63E+06,1.00E-04
698,-1.83E+05,1.00E-04
699,-4.81E+06,1.00E-04
700,6.31E+07,8.82E+06
701,4.69E+06,1.00E-04
702,3.51E+07,2.05E+05
703,1.25E+06,1.00E-04
704,-7.38E+05,1.00E-04
705,-3.49E+06,1.00E-04
706,-4.74E+06,1.00E-04
707,-3.95E+06,1.00E-04
708,1.29E+07,1.00E-04
709,-4.86E+06,1.00E-04
710,-1.72E+06,1.00E-04
711,3.64E+07,1.00E-04
712,1.63E+07,1.00E-04
713,-3.83E+06,1.00E-04
714,2.98E+08,4.09E+08
715,-5.94E+06,1.00E-04
716,6.09E+07,3.94E+07
717,-4.59E+06,1.00E-04
718,-2.59E+06,1.00E-04
719,4.55E+07,1.20E+07
720,2.27E+07,1.00E-04
721,1.22E+06,1.00E-04
722,1.64E+08,1.55E+08
723,-5.35E+06,1.00E-04
724,-3.00E+06,1.00E-04
725,2.26E+05,1.00E-04
726,-4.05E+06,1.00E-04
727,1.88E+06,1.00E-04
728,-3.42E+06,1.00E-04
729,-5.89E+06,1.00E-04
730,-3.94E+06,1.00E-04
731,-1.26E+06,1.00E-04
732,9.46E+07,1.61E+08
733,-3.40E+06,1.00E-04
734,-2.21E+06,1.00E-04
735,-8.80E+05,1.00E-04
736,-3.97E+06,1.00E-04
737,3.80E+07,1.00E-04
738,-1.61E+06,1.00E-04
739,6.88E+07,1.36E+07
740,-3.48E+06,8.80E+04
741,3.05E+07,4.61E+05
742,2.16E+06,1.00E-04
743,-1.89E+06,1.00E-04
744,5.51E+06,1.00E-04
745,-3.02E+06,1.00E-04
746,-3.56E+06,1.00E-04
747,-4.59E+06,1.00E-04
748,2.97E+07,9.79E+06
749,1.49E+08,1.99E+08
750,-5.56E+06,1.00E-04
751,-4.04E+06,1.00E-04
752,-5.40E+06,1.00E-04
753,5.06E+06,1.00E-04
754,-5.25E+06,1.00E-04
755,4.24E+06,1.00E-04
756,-3.18E+05,1.00E-04
757,7.19E+06,4.84E+04
758,-5.70E+06,1.00E-04
759,8.65E+04,1.00E-04
760,-3.30E+06,1.00E-04
761,-4.30E+06,1.00E-04
762,-7.02E+05,1.00E-04
763,-5.03E+06,1.00E-04
764,2.36E+07,1.19E+08
765,-4.83E+06,1.00E-04
766,-5.12E+06,1.00E-04
767,8.26E+07,5.33E+07
768,-4.67E+06,1.00E-04
769,3.03E+08,4.15E+08
770,-3.26E+06,1.00E-04
771,-5.09E+06,1.00E-04
772,4.80E+06,1.00E-04
773,1.24E+07,1.00E-04
774,6.37E+06,2.40E+06
775,-2.62E+06,1.00E-04
776,-3.58E+06,1.00E-04
777,9.90E+06,1.00E-04
778,-4.01E+06,1.00E-04
779,-6.44E+05,6.70E+03
780,6.06E+07,1.00E-04
781,7.68E+07,1.00E-04
782,4.24E+07,1.50E+06
783,-1.33E+06,1.00E-04
784,1.51E+07,1.00E-04
785,-4.44E+06,1.00E-04
786,-4.00E+06,1.00E-04
787,1.84E+06,1.00E-04
788,-4.17E+06,1.00E-04
789,-3.56E+06,1.00E-04
790,-3.44E+06,1.00E-04
791,7.83E+06,1.00E-04
792,2.58E+07,8.55E+06
793,1.16E+08,5.57E+07
794,3.46E+07,1.00E-04
795,-3.51E+05,1.60E+04
796,7.80E+06,1.00E-04
797,1.07E+08,4.20E+07
798,-4.26E+06,1.00E-04
799,6.72E+08,2.07E+09
800,-4.76E+06,1.00E-04
801,1.10E+07,2.55E+04
802,2.47E+07,1.43E+06
803,-4.71E+06,1.00E-04
804,-5.01E+06,1.00E-04
805,-4.07E+06,1.00E-04
806,-4.91E+06,1.00E-04
807,1.00E+07,1.05E+08
808,-5.44E+06,1.00E-04
809,-5.05E+06,1.00E-04
810,1.98E+08,8.67E+07
811,-4.98E+06,1.00E-04
812,5.95E+05,1.00E-04
813,1.16E+07,1.00E-04
814,-3.92E+06,1.00E-04
815,1.36E+08,9.05E+07
816,-4.26E+06,1.00E-04
817,2.29E+06,1.00E-04
818,-1.75E+06,1.00E-04
819,-3.84E+06,1.00E-04
820,-5.94E+06,1.00E-04
821,1.40E+07,1.00E-04
822,1.54E+07,1.00E-04
823,-3.16E+06,1.00E-04
824,-4.71E+06,1.00E-04
825,2.47E+06,3.33E+06
826,-3.61E+06,1.00E-04
827,-3.61E+06,1.00E-04
828,-4.29E+06,1.00E-04
829,-1.89E+06,1.00E-04
830,5.78E+06,1.00E-04
831,-1.72E+06,1.00E-04
832,-5.21E+06,1.00E-04
833,1.63E+06,1.00E-04
834,-5.55E+06,1.00E-04
835,2.64E+06,1.00E-04
836,6.75E+08,2.84E+08
837,-4.52E+06,1.00E-04
838,-5.94E+06,1.00E-04
839,-5.49E+06,1.00E-04
