id,num_critic_for_reviews,duration,actor_2_name,gross,genres,actor_1_name,movie_title,actor_3_name,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score,movie_facebook_likes
807,654,123,Brad Pitt,202351611,Action|Adventure|Horror|Sci-Fi|Thriller,Peter Capaldi,World War Z ,Mireille Enos,chaos|disease|infection|pandemic|zombie,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,995,English,USA,PG-13,190000000,2013,7,129000
10530,539,149,Peter Dinklage,233914986,Action|Adventure|Fantasy|Sci-Fi|Thriller,Jennifer Lawrence,X-Men: Days of Future Past ,Hugh Jackman,dystopia|super strength|supernatural power|time paradox|time travel,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,752,English,USA,PG-13,200000000,2014,8,82000
8391,590,132,Bruce Greenwood,228756232,Action|Adventure|Sci-Fi,Benedict Cumberbatch,Star Trek Into Darkness ,Noel Clarke,admiral|captain|manhunt|mission|space,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,1171,English,USA,PG-13,190000000,2013,7.8,92000
629,338,114,Ewen Bremner,65171860,Adventure|Fantasy,Eddie Marsan,Jack the Giant Slayer ,Ralph Brown,bean|giant|king|no opening credits|princess,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,205,English,USA,PG-13,195000000,2013,6.3,22000
117164,490,143,Elizabeth Debicki,144812796,Drama|Romance,Leonardo DiCaprio,The Great Gatsby ,Steve Bisley,ingratitude|mansion|party|title appears in writing|tragedy,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,753,English,Australia,PG-13,105000000,2013,7.3,115000
11448,306,116,Richard Coyle,90755643,Action|Adventure|Fantasy|Romance,Jake Gyllenhaal,Prince of Persia: The Sands of Time ,Reece Ritchie,alamut|dagger|king|persia|princess,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,453,English,USA,PG-13,200000000,2010,6.6,23000
49133,575,131,Clifton Collins Jr.,101785482,Action|Adventure|Sci-Fi,Charlie Hunnam,Pacific Rim ,Larry Joe Campbell,giant monster|kaiju|pilot|portal|robot,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,1106,English,USA,PG-13,190000000,2013,7,83000
26441,428,154,Lester Speight,352358779,Action|Adventure|Sci-Fi,Glenn Morshower,Transformers: Dark of the Moon ,Kevin Dunn,autobot|decepticon|job interview|moon|spacecraft,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,899,English,USA,PG-13,195000000,2011,6.3,46000
97406,470,122,Ray Winstone,317011114,Action|Adventure|Fantasy,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull ,Jim Broadbent,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,2054,English,USA,PG-13,185000000,2008,6.2,5000
124057,298,93,Jack McGraw,123070338,Adventure|Animation|Comedy|Family|Fantasy,A.J. Buckley,The Good Dinosaur ,Peter Sohn,apatosaurus|asteroid|dinosaur|fear|river,http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1,345,English,USA,PG,,2015,6.8,20000
9089,488,93,John Ratzenberger,237282182,Adventure|Animation|Comedy|Family|Fantasy,Kelly Macdonald,Brave ,Julie Walters,archery|coming of age|female warrior|princess|rebellious daughter,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,428,English,USA,PG,185000000,2012,7.2,39000
11010,322,122,Melissa Roxburgh,130468626,Action|Adventure|Sci-Fi|Thriller,Sofia Boutella,Star Trek Beyond ,Lydia Wilson,hatred|sequel|space opera|star trek|third part,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,432,English,USA,PG-13,185000000,2016,7.5,30000
99040,421,98,Fred Willard,223806889,Adventure|Animation|Family|Sci-Fi,John Ratzenberger,WALL-E ,Jeff Garlin,earth|obesity|plant|robot|soil,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,1043,English,USA,G,180000000,2008,8.4,16000
11359,162,91,Dana Ivey,140080850,Action|Comedy|Crime|Thriller,Tzi Ma,Rush Hour 3 ,Noémie Lenoir,ambassador|assassination|chinese|french|triad,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,221,English,USA,PG-13,140000000,2007,6.2,0
17182,367,158,Liam James,166112167,Action|Adventure|Sci-Fi,Oliver Platt,2012 ,Tom McCarthy,ark|catastrophe|geologist|president|writer,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,1055,English,USA,PG-13,200000000,2009,5.8,13000
2054,240,96,Colin Firth,137850096,Animation|Drama|Family|Fantasy,Robin Wright,A Christmas Carol ,Gary Oldman,charles dickens|christmas|christmas eve|ghost|scrooge,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,249,English,USA,PG,200000000,2009,6.8,0
10607,384,127,Mila Kunis,47375327,Action|Adventure|Sci-Fi,Channing Tatum,Jupiter Ascending ,Eddie Redmayne,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,720,English,USA,PG-13,176000000,2015,5.4,44000
19760,248,110,Alexander Skarsgård,124051759,Action|Adventure|Drama|Romance,Christoph Waltz,The Legend of Tarzan ,Casper Crump,africa|capture|jungle|male objectification|tarzan,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,239,English,USA,PG-13,180000000,2016,6.6,29000
9536,,,,,,,,,,,,,,,,,,
11525,396,144,Michael Fassbender,154985087,Action|Adventure|Sci-Fi,Jennifer Lawrence,X-Men: Apocalypse ,Tye Sheridan,mutant|superhero|superhero team|x men|year 1983,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,622,English,USA,PG-13,178000000,2016,7.3,54000
40628,645,152,Heath Ledger,533316061,Action|Crime|Drama|Thriller,Christian Bale,The Dark Knight ,Morgan Freeman,based on comic book|dc comics|psychopath|star died before release|urban setting,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,4667,English,USA,PG-13,185000000,2008,9,37000
4482,408,96,Delroy Lindo,292979556,Adventure|Animation|Comedy|Family,John Ratzenberger,Up ,Jess Harnell,balloon|house|promise|retirement|skeleton,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,704,English,USA,PG,175000000,2009,8.3,27000
10634,219,94,Rainn Wilson,198332128,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Amy Poehler,Monsters vs. Aliens ,Stephen Colbert,alien|alien invasion|alien space craft|giant|giantess,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,187,English,USA,PG,175000000,2009,6.5,0
755,486,126,Jeff Bridges,318298180,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron Man ,Jon Favreau,afghanistan|billionaire|inventor|playboy|u.s. air force,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1,1055,English,USA,PG-13,140000000,2008,7.9,10000
11859,682,126,Christopher Lee,73820094,Adventure|Drama|Family|Mystery,Chloë Grace Moretz,Hugo ,Ray Winstone,automaton|mechanical|railway station|steampunk|train,http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1,678,English,USA,PG,170000000,2011,7.5,42000
28387,85,106,Salma Hayek,113745408,Action|Comedy|Sci-Fi|Western,Will Smith,Wild Wild West ,Bai Ling,buddy movie|general|inventor|steampunk|utah,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,648,English,USA,PG-13,170000000,1999,4.8,0
48750,264,112,Brendan Fraser,102176165,Action|Adventure|Fantasy|Horror|Thriller,Jet Li,The Mummy: Tomb of the Dragon Emperor ,Russell Wong,army|china|emperor|mummy|shangri la,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1,501,English,USA,PG-13,145000000,2008,5.2,0
20927,418,123,Robin Atkin Downes,161087183,Action|Adventure|Comedy|Sci-Fi,Will Smith,Suicide Squad ,Ike Barinholtz,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,971,English,USA,PG-13,175000000,2016,6.9,80000
36929,186,96,Morgan Freeman,100289690,Comedy|Family|Fantasy,Jimmy Bennett,Evan Almighty ,Steve Carell,ark|change|congressman|depiction of god|flood,http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1,257,English,USA,PG,175000000,2007,5.4,2000
9102,585,113,Lara Pulver,100189501,Action|Adventure|Sci-Fi,Tom Cruise,Edge of Tomorrow ,Noah Taylor,alien|combat|dying repeatedly|end of the world|time loop,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1,741,English,USA,PG-13,178000000,2014,7.9,77000
124626,91,176,Rick Aviles,88246220,Action|Adventure|Sci-Fi|Thriller,Jeanne Tripplehorn,Waterworld ,Zakes Mokae,future|sail|sea|smoker|water,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1,309,English,USA,PG-13,175000000,1995,6.1,0
27526,250,118,Dennis Quaid,150167630,Action|Adventure|Sci-Fi|Thriller,Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra ,Leo Howard,cobra|gi joe|snake|train|warhead,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,534,English,USA,PG-13,175000000,2009,5.8,0
9623,536,95,Mindy Kaling,356454367,Adventure|Animation|Comedy|Drama|Family|Fantasy,Amy Poehler,Inside Out ,Phyllis Smith,anger|joy|memory|running away|sadness,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,773,English,USA,PG,175000000,2015,8.3,118000
46785,370,106,Bill Murray,362645141,Adventure|Drama|Family|Fantasy,Scarlett Johansson,The Jungle Book ,Garry Shandling,fire|jungle|remake|tiger|wolf,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,398,English,UK,PG,175000000,2016,7.8,65000
400,453,124,Scarlett Johansson,312057433,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron Man 2 ,Jon Favreau,hammer|military|monaco|revenge|tony stark,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1,723,English,USA,PG-13,200000000,2010,7,18000
880,416,132,Kristen Stewart,155111815,Action|Adventure|Drama|Fantasy,Chris Hemsworth,Snow White and the Huntsman ,Sam Claflin,evil queen|fairy tale|magic|queen|snow white,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1,710,English,USA,PG-13,170000000,2012,6.1,53000
146599,401,97,Sharlto Copley,241407328,Action|Adventure|Family|Fantasy|Romance,Angelina Jolie Pitt,Maleficent ,Sam Riley,curse|dark fantasy|fairy|king|kingdom,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1,634,English,USA,PG,180000000,2014,7,89000
188588,521,130,Judy Greer,208543795,Action|Adventure|Drama|Sci-Fi,Gary Oldman,Dawn of the Planet of the Apes ,Kodi Smit-McPhee,ape|dam|leader|post apocalypse|sequel,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1,620,English,USA,PG-13,170000000,2014,7.6,45000
8447,10,109,Alice Englert,,Action|Adventure|Romance|Sci-Fi,Tamsin Egerton,The Lovers ,Bipasha Basu,1770s|british india|great barrier reef|india|ring,http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1,15,English,Belgium,R,,2015,4.5,677
10534,218,128,Cary-Hiroyuki Tagawa,38297305,Action|Adventure|Drama|Fantasy,Keanu Reeves,47 Ronin ,Jin Akanishi,box office flop|ronin|samurai|shogun|tournament,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,324,English,USA,PG-13,175000000,2013,6.3,35000
17414,576,136,Chris Evans,259746958,Action|Adventure|Sci-Fi,Scarlett Johansson,Captain America: The Winter Soldier ,Hayley Atwell,conspiracy|heroism|megalomaniac|super soldier|world domination,http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1,742,English,USA,PG-13,170000000,2014,7.8,55000
13997,226,93,Kathy Griffin,238371987,Adventure|Animation|Comedy|Family|Fantasy,Jon Hamm,Shrek Forever After ,Mary Kay Place,alternate world|fairy tale parody|female warrior|ogre|true love,http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1,173,English,USA,PG,165000000,2010,6.4,0
2086,443,130,Chris Bauer,93417865,Action|Adventure|Family|Mystery|Sci-Fi,Judy Greer,Tomorrowland ,Thomas Robinson,boy genius|futuristic city|inventor|teenage girl|time travel,http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1,497,English,USA,PG,190000000,2015,6.5,37000
61548,384,102,Daniel Henney,222487711,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Damon Wayans Jr.,Big Hero 6 ,Abraham Benrubi,high tech|martial arts|masked man|robot|superhero,http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1,433,English,USA,PG,165000000,2014,7.9,41000
9095,377,101,Sarah Silverman,189412677,Adventure|Animation|Comedy|Family|Sci-Fi,Jack McBrayer,Wreck-It Ralph ,Joe Lo Truglio,arcade|candy|glitch|king|medal,http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1,345,English,USA,PG,165000000,2012,7.8,40000
12158,188,100,Eddie Deezen,665426,Adventure|Animation|Family|Fantasy,Tom Hanks,The Polar Express ,Peter Scolari,boy|christmas|christmas eve|north pole|train,http://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1,444,English,USA,G,165000000,2004,6.6,10000
9283,286,120,Sela Ward,102315545,Action|Adventure|Sci-Fi,Vivica A. Fox,Independence Day: Resurgence ,Judd Hirsch,alien|battle|defense|independence day|mothership,http://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1,520,English,USA,PG-13,165000000,2016,5.5,67000
9208,288,98,America Ferrera,217387997,Adventure|Animation|Family|Fantasy,Gerard Butler,How to Train Your Dragon ,Craig Ferguson,dragon|island|training|viking|village,http://www.imdb.com/title/tt0892769/?ref_=fn_tt_tt_1,492,English,USA,PG,165000000,2010,8.2,33000
40154,280,109,M.C. Gainey,150350192,Action|Sci-Fi,Nick Stahl,Terminator 3: Rise of the Machines ,Carolyn Hennesy,drifter|exploding truck|future|machine|skynet,http://www.imdb.com/title/tt0181852/?ref_=fn_tt_tt_1,1676,English,USA,R,200000000,2003,6.4,0
