,id,budget,budget_norm,budget_log,genres,popularity,popularity_norm,release_date,revenue,revenue_norm,revenue_log,runtime,runtime_norm,title,vote_average,vote_average_norm,vote_count,vote_count_norm,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,director
637,10684,46000000,0.121046849,7.662757832," Drama, Thriller, Mystery, War",11.595316,2.12E-02,7/4/1996,100860818,0.036176732,8.003722486,117,0.346153846,Courage Under Fire,6.2,6.81E-01,240,0.01705151,Denzel Washington, Meg Ryan, Lou Diamond Phillips, Matt Damon, Michael Moriarty, Michole Briana White,Edward Zwick
638,954,80000000,0.210521122,7.903089987," Adventure, Action, Thriller",15.793477,2.88E-02,5/22/1996,457696359,0.164168191,8.660577458,110,0.325443787,Mission: Impossible,6.7,7.36E-01,2677,0.190195382,Tom Cruise, Jon Voight, Emmanuelle Béart, Henry Czerny, Jean Reno, Ving Rhames,Brian De Palma
643,8840,57000000,0.149994408,7.755874856,Fantasy,23.63659,4.32E-02,5/31/1996,115267375,0.041344144,8.061706403,103,0.304733728,DragonHeart,6.4,7.03E-01,553,0.03928952,Dennis Quaid, David Thewlis, Pete Postlethwaite, Dina Meyer, Julie Christie, Sean Connery,Rob Cohen
651,10539,38000000,0.099994079,7.579783597," Adventure, Animation, Family",13.217623,2.41E-02,4/12/1996,28921264,0.010373112,7.46121727,79,0.233727811,James and the Giant Peach,6.2,6.81E-01,375,0.026642984,Miriam Margolyes, Joanna Lumley, Pete Postlethwaite, Susan Sarandon, Richard Dreyfuss, Jane Leeves,"Henry Selick, Compositors, John Bermudes"
654,47502,13000000,0.034204172,7.113943352," Comedy, Crime, Drama",1.296862,2.37E-03,4/3/1996,9789900,0.003510984,6.990778256,91,0.269230769,Faithful,4.8,5.27E-01,4,0.000284192,Cher, Chazz Palminteri, Paul Mazursky, Amber Smith, Elisa Leonetti, Mark Nassar,Paul Mazursky
662,2300,80000000,0.210521122,7.903089987," Animation, Comedy, Drama, Family, Fantasy",11.054251,2.02E-02,11/15/1996,250200000,0.089742416,8.398287305,88,0.26035503,Space Jam,6.5,7.14E-01,1335,0.094849023,Michael Jordan, Wayne Knight, Billy West, Dee Bradley Baker, Theresa Randle, Danny DeVito,"Joe Pytka,  "
663,8069,9000000,0.023677787,6.954242509,Science Fiction,14.304205,2.61E-02,10/10/1968,2500000,0.000896208,6.397940009,98,0.289940828,Barbarella,5.7,6.26E-01,149,0.010586146,Jane Fonda, John Phillip Law, Anita Pallenberg, Marcel Marceau, Claude Dauphin, Véronique Vendell,Roger Vadim
680,40001,25000000,0.065783328,7.397940009," Comedy, Romance, Drama",9.1861,1.68E-02,4/19/1996,10070000,0.003611452,7.003029471,105,0.310650888,Mrs. Winterbourne,5.5,6.04E-01,26,0.001847247,Shirley MacLaine, Ricki Lake, Brendan Fraser, Jane Krakowski, Loren Dean, Miguel Sandoval,Richard Benjamin
693,9103,30000000,0.078941309,7.477121255," Action, Adventure",7.941972,1.45E-02,4/19/1996,57400547,0.020588196,7.758916031,95,0.281065089,The Quest,5.3,5.82E-01,126,0.008952043,Jean-Claude Van Damme, Roger Moore, James Remar, Jack McGee, Louis Mandylor, Ryan Cutrona,Jean-Claude Van Damme
698,12233,31000000,0.081572905,7.491361694," Animation, Comedy, Family",10.813579,1.98E-02,11/18/1988,74151346,0.026596452,7.870119039,74,0.218934911,Oliver & Company,6.5,7.14E-01,372,0.02642984,Joey Lawrence, Billy Joel, Cheech Marin, Richard Mulligan, Roscoe Lee Browne, Sheryl Lee Ralph,George Scribner
700,36355,25530000,0.067178074,7.407050815," Adventure, Family",4.557006,8.32E-03,5/17/1996,20080020,0.007201893,7.302764141,95,0.281065089,Flipper,5.3,5.82E-01,85,0.006039076,Elijah Wood, Paul Hogan, Jonathan Banks, Jason Fuchs, Robert Deacon, Luke Halpin,Alan Shapiro
704,11876,35000000,0.09209929,7.544068044," War, Adventure, Drama, Romance",1.690768,3.09E-03,9/20/1995,15000000,0.005379767,7.176091259,135,0.399408284,The Horseman on the Roof,6.7,7.36E-01,25,0.001776199,Juliette Binoche, Olivier Martinez, Pierre Arditi, François Cluzet, Gérard Depardieu, Jean Yanne,Jean-Paul Rappeneau
711,9100,15000000,0.039467365,7.176091259," Drama, Fantasy, Horror, Thriller",12.860385,2.35E-02,5/3/1996,24769466,0.008883926,7.393916644,101,0.298816568,The Craft,6.3,6.92E-01,388,0.027566607,Robin Tunney, Fairuza Balk, Neve Campbell, Rachel True, Skeet Ulrich, Christine Taylor,Andrew Fleming
718,40507,4800000,0.012625083,6.681241237," Action, Drama, Crime, Thriller",0.343579,6.26E-04,5/10/1996,3014000,0.001080572,6.479143248,99,0.292899408,Original Gangstas,5.5,6.04E-01,5,0.00035524,Fred Williamson, Pam Grier, Jim Brown, Paul Winfield, Isabel Sanford, Oscar Brown Jr.,Larry Cohen
719,9802,75000000,0.197363141,7.875061263," Action, Adventure, Thriller",13.249824,2.42E-02,6/6/1996,335062621,0.120181342,8.525125981,136,0.402366864,The Rock,6.9,7.58E-01,1474,0.104724689,Sean Connery, Nicolas Cage, Ed Harris, John Spencer, David Morse, William Forsythe,
722,664,92000000,0.242100277,7.963787827," Action, Adventure, Drama",8.739144,1.60E-02,5/10/1996,494471524,0.177358881,8.694141286,113,0.334319527,Twister,6.1,6.70E-01,966,0.068632327,Helen Hunt, Bill Paxton, Cary Elwes, Jami Gertz, Philip Seymour Hoffman, Lois Smith,
733,10547,25000000,0.065783328,7.397940009," Action, Mystery, Science Fiction, Thriller",6.497591,1.19E-02,5/31/1996,14048372,0.005038433,7.147625999,115,0.340236686,The Arrival,6.1,6.70E-01,200,0.014209591,Charlie Sheen, Lindsay Crouse, Richard Schiff, Ron Silver, Teri Polo, Phyllis Applegate,David Twohy
735,935,1800000,0.004730294,6.255272505," Drama, Comedy, War",9.80398,1.79E-02,1/29/1964,9440272,0.003385578,6.974984508,95,0.281065089,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8,8.79E-01,1472,0.104582593,Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn, Slim Pickens, Peter Bull,Stanley Kubrick
746,9826,45000000,0.118415253,7.653212514," Adventure, Action",8.079541,1.48E-02,6/6/1996,17300889,0.006205061,7.23806842,100,0.295857988,The Phantom,4.7,5.16E-01,138,0.009804618,Billy Zane, Kristy Swanson, Treat Williams, Catherine Zeta-Jones, James Remar, Cary-Hiroyuki Tagawa,Simon Wincer
747,9879,50000000,0.131573234,7.698970004," Drama, Thriller, Crime",11.341502,2.07E-02,6/28/1996,113309743,0.040641971,8.054267255,115,0.340236686,Striptease,4.4,4.84E-01,210,0.014920071,Demi Moore, Burt Reynolds, Armand Assante, Ving Rhames, Robert Patrick, Paul Guilfoyle,
750,7095,45000000,0.118415253,7.653212514," Comedy, Drama, Science Fiction",6.287245,1.15E-02,8/9/1996,58620973,0.021025944,7.768053023,113,0.334319527,Jack,5.9,6.48E-01,340,0.024156306,Robin Williams, Diane Lane, Brian Kerwin, Jennifer Lopez, Bill Cosby, Fran Drescher,Francis Ford Coppola
761,627,4000000,0.010519806,6.602059991," Drama, Crime",19.348466,3.53E-02,2/23/1996,16491080,0.005914595,7.217249098,93,0.275147929,Trainspotting,7.8,8.57E-01,2737,0.194458259,Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Robert Carlyle, Kelly Macdonald, Kevin McKidd,Danny Boyle
763,602,75000000,0.197363141,7.875061263," Action, Adventure, Science Fiction",17.634197,3.22E-02,6/25/1996,816969268,0.293033897,8.91220572,145,0.428994083,Independence Day,6.7,7.36E-01,3334,0.23687389,Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell, Judd Hirsch, Robert Loggia,
765,9566,55000000,0.144731215,7.740362689," Drama, Mystery, Thriller",12.202063,2.23E-02,8/15/1996,18626419,0.006680508,7.270129368,116,0.343195266,The Fan,5.7,6.26E-01,202,0.014351687,Robert De Niro, Wesley Snipes, Ellen Barkin, John Leguizamo, Benicio del Toro, Chris Mulkey,
766,10545,100000000,0.263153047,8," Drama, Animation, Family",13.553999,2.48E-02,6/21/1996,100138851,0.035917773,8.000602604,91,0.269230769,The Hunchback of Notre Dame,6.8,7.47E-01,1182,0.083978686,Tom Hulce, Demi Moore, Tony Jay, Kevin Kline, Paul Kandel, Charles Kimbrough,Gary Trousdale
767,9894,47000000,0.123678445,7.672097858," Comedy, Drama, Thriller",7.586577,1.39E-02,6/10/1996,102825796,0.036881539,8.01210208,96,0.284023669,The Cable Guy,5.7,6.26E-01,603,0.042841918,Jim Carrey, Matthew Broderick, Leslie Mann, Jack Black, George Segal, Diane Baker,Ben Stiller
768,11543,27000000,0.07104652,7.431363764,Comedy,11.633347,2.12E-02,7/4/1996,25023434,0.00897502,7.398346908,113,0.334319527,Kingpin,6.7,7.36E-01,248,0.017619893,Woody Harrelson, Randy Quaid, Vanessa Angel, Bill Murray, Chris Elliott, William Jordan,"Bobby Farrelly, Rigging Gaffer, Ed Letteri"
769,9268,100000000,0.263153047,8," Action, Drama, Mystery, Thriller",6.919314,1.26E-02,6/21/1996,242295562,0.086907215,8.384345459,115,0.340236686,Eraser,5.6,6.15E-01,553,0.03928952,Arnold Schwarzenegger, James Caan, Vanessa Williams, James Coburn, Robert Pastorelli, James Cromwell,Chuck Russell
771,9327,54000000,0.142099619,7.73239376," Fantasy, Comedy, Romance, Science Fiction",9.651581,1.76E-02,6/26/1996,128769345,0.046187094,8.109812487,95,0.281065089,The Nutty Professor,5.4,5.93E-01,717,0.050941385,Eddie Murphy, Jada Pinkett Smith, James Coburn, Larry Miller, Dave Chappelle, John Ales,Tom Shadyac
780,11228,80000000,0.210521122,7.903089987," Action, Adventure, Thriller",11.995799,2.19E-02,12/6/1996,159212469,0.057106578,8.201977077,115,0.340236686,Daylight,5.8,6.37E-01,385,0.027353464,Sylvester Stallone, Amy Brenneman, Viggo Mortensen, Dan Hedaya, Jay O. Sanders, Karen Young,"Security, Gary Compton, Seamstress, Silvana Cocuccione"
781,10779,30000000,0.078941309,7.477121255," Horror, Comedy",12.09096,2.21E-02,7/18/1996,29359216,0.010530199,7.467744454,110,0.325443787,The Frighteners,6.7,7.36E-01,413,0.029342806,Michael J. Fox, Jeffrey Combs, Jake Busey, Chi McBride, Trini Alvarado, Peter Dobson,"Peter Jackson, Wigmaker, Cheryl Newton"
782,26748,5000000,0.013151402,6.698970004," Drama, Mystery, Romance",9.069963,1.66E-02,6/21/1996,13269963,0.004759229,7.122869712,135,0.399408284,Lone Star,6.9,7.58E-01,79,0.005612789,Chris Cooper, Matthew McConaughey, Elizabeth Peña, Kris Kristofferson, Joe Morton, Frances McDormand,John Sayles
784,9294,32000000,0.084204501,7.505149978," Drama, Fantasy, Romance, Science Fiction",5.575992,1.02E-02,7/5/1996,152036382,0.054532625,8.181947526,123,0.363905325,Phenomenon,6.2,6.81E-01,328,0.02330373,John Travolta, Kyra Sedgwick, Forest Whitaker, Robert Duvall, Jeffrey DeMunn, Richard Kiley,Jon Turteltaub
786,11363,3500000,0.009204008,6.544068044," Comedy, Romance",10.827266,1.98E-02,8/26/1996,9482579,0.003400753,6.97692647,96,0.284023669,She's the One,5.7,6.26E-01,71,0.005044405,Edward Burns, Michael McGlone, Cameron Diaz, Jennifer Aniston, John Mahoney, Maxine Bahns,Edward Burns
787,1645,40000000,0.105257271,7.602059991," Crime, Drama, Thriller",13.309013,2.43E-02,7/24/1996,152266007,0.054614988,8.182602959,149,0.440828402,A Time to Kill,7,7.69E-01,522,0.037087034,Matthew McConaughey, Sandra Bullock, Samuel L. Jackson, Kevin Spacey, Oliver Platt, Charles S. Dutton,Joel Schumacher
791,18550,25000000,0.065783328,7.397940009," Action, Comedy, Thriller",3.906949,7.13E-03,7/19/1996,17193231,0.006166446,7.235357498,98,0.289940828,Fled,5.2,5.71E-01,49,0.00348135,Laurence Fishburne, Stephen Baldwin, Salma Hayek, Will Patton, Robert John Burke, Robert Hooks,Kevin Hooks
808,11962,13000000,0.034204172,7.113943352," Fantasy, Comedy, Music",9.490858,1.73E-02,7/26/1996,4619014,0.001656266,6.664549279,78,0.230769231,Joe's Apartment,5,5.49E-01,87,0.006181172,Megan Ward, Billy West, Reginald Hudlin, Willi One Blood, Tracy Vilar, Robert Vaughn,John Payson
809,2925,26000000,0.068414924,7.414973348,Comedy,10.177303,1.86E-02,9/20/1996,116400000,0.041750399,8.06595298,102,0.301775148,The First Wives Club,6.5,7.14E-01,172,0.012220249,Goldie Hawn, Bette Midler, Diane Keaton, Maggie Smith, Dan Hedaya, Victor Garber,
811,3595,80000000,0.210521122,7.903089987," Action, Thriller",8.772188,1.60E-02,11/8/1996,309492681,0.111009795,8.490650383,117,0.346153846,Ransom,6.4,7.03E-01,482,0.034245115,Mel Gibson, Gary Sinise, Delroy Lindo, Rene Russo, Lili Taylor, Brawley Nolte,Ron Howard
815,12123,50000000,0.131573234,7.698970004," Action, Drama, Science Fiction, Thriller",15.874491,2.90E-02,8/2/1996,60209334,0.021595665,7.779663823,107,0.316568047,Chain Reaction,5.3,5.82E-01,291,0.020674956,Keanu Reeves, Morgan Freeman, Rachel Weisz, Fred Ward, Kevin Dunn, Brian Cox,Andrew Davis
816,10830,36000000,0.094730886,7.556302501," Comedy, Family, Fantasy",10.034915,1.83E-02,8/2/1996,33459416,0.012000878,7.524518357,98,0.289940828,Matilda,6.9,7.58E-01,892,0.063374778,Mara Wilson, Danny DeVito, Embeth Davidtz, Rhea Perlman, Pam Ferris, Paul Reubens,Danny DeVito
817,3573,6000000,0.015782999,6.77815125," Drama, Comedy, Romance",6.593011,1.20E-02,8/2/1996,22231658,0.007973653,7.346971853,121,0.357988166,Emma,6.7,7.36E-01,152,0.01079929,Gwyneth Paltrow, Toni Collette, Alan Cumming, Ewan McGregor, Jeremy Northam, Greta Scacchi,
818,10546,13000000,0.034204172,7.113943352," Action, Fantasy, Thriller",6.554679,1.20E-02,8/29/1996,17917287,0.006426154,7.25327225,84,0.24852071,The Crow: City of Angels,5.2,5.71E-01,119,0.008454707,Vincent Pérez, Mia Kirshner, Iggy Pop, Thomas Jane, Richard Brooks, Thuy Trang,
821,9431,15000000,0.039467365,7.176091259," Horror, Comedy",3.450402,6.30E-03,8/16/1996,5600000,0.002008131,6.748188027,87,0.25739645,Bordello of Blood,5,5.49E-01,63,0.004476021,Dennis Miller, Эрика Элениак, Angie Everhart, Corey Feldman, Whoopi Goldberg, John Kassir,
827,47907,6000000,0.015782999,6.77815125," Comedy, Drama",1.19589,2.18E-03,8/23/1996,12643776,0.004534626,7.101876793,117,0.346153846,The Spitfire Grill,6.8,7.47E-01,17,0.001207815,Alison Elliott, Ellen Burstyn, Marcia Gay Harden, Will Patton, Kieran Mulroney, Gailard Sartain,Lee David Zlotoff
828,10061,50000000,0.131573234,7.698970004," Action, Adventure, Science Fiction, Thriller",12.229381,2.23E-02,8/9/1996,42277365,0.015163742,7.626107911,97,0.286982249,Escape from L.A.,5.6,6.15E-01,381,0.027069272,Kurt Russell, Stacy Keach, Steve Buscemi, Pam Grier, Cliff Robertson, Georges Corraface,John Carpenter
830,549,2962051,0.007788343,6.471592532," Drama, History",4.797674,8.76E-03,8/9/1996,3011195,0.001079566,6.478738881,108,0.319526627,Basquiat,6.6,7.25E-01,97,0.006891652,Jeffrey Wright, David Bowie, Dennis Hopper, Gary Oldman, Benicio del Toro, Claire Forlani,
831,10478,45000000,0.118415253,7.653212514," Comedy, Drama, Romance",6.24966,1.14E-02,8/16/1996,53854588,0.019316315,7.731222708,135,0.399408284,Tin Cup,5.9,6.48E-01,152,0.01079929,Kevin Costner, Don Johnson, Cheech Marin, George Perez, Rene Russo, Linda Hart,Ron Shelton
832,66634,200000,0.00051974,5.301029996," Drama, Music",0.124273,2.26E-04,6/2/1991,300000,0.000107102,5.477121255,109,0.322485207,Dingo,6,6.59E-01,1,7.1048E-05,Colin Friels, Miles Davis, Helen Buday, Joe Petruzzi, Brigitte Catillon,,Rolf de Heer
837,238,6000000,0.015782999,6.77815125," Drama, Crime",41.109264,7.51E-02,3/14/1972,245066411,0.087901076,8.389283791,175,0.517751479,The Godfather,8.5,9.34E-01,6024,0.427992895,Marlon Brando, Al Pacino, James Caan, Richard S. Castellano, Robert Duvall, Sterling Hayden,
839,11134,900000,0.002361858,5.954242509," Action, Crime, Thriller",6.751864,1.23E-02,7/4/1992,20483423,0.007346587,7.311402534,95,0.281065089,Police Story 3: Supercop,6.7,7.36E-01,109,0.007744227,Jackie Chan, Michelle Yeoh, Maggie Cheung, Kenneth Tsang, Yuen Wah, Bill Tung,Stanley Tong
840,88224,500000,0.001309219,5.698970004," Drama, Comedy",1.143656,2.09E-03,1/22/1996,431326,0.000154206,5.634805638,88,0.26035503,Manny & Lo,6.3,6.92E-01,9,0.000639432,Mary Kay Place, Scarlett Johansson, Aleska Palladino, Dean Silvers, Marlen Hecht, Forrest Silvers,Lisa Krueger
846,9303,4500000,0.011835604,6.653212514," Crime, Drama, Romance, Thriller",12.449574,2.27E-02,9/13/1996,7011317,0.002514349,6.845799603,108,0.319526627,Bound,6.9,7.58E-01,203,0.014422735,Jennifer Tilly, Gina Gershon, Joe Pantoliano, John P. Ryan, Christopher Meloni, Richard C. Sarafian,"Lana Wachowski, Lilly Wachowski"
859,11015,60000000,0.157889197,7.77815125," Horror, Mystery, Thriller",7.699967,1.41E-02,1/10/1997,33956608,0.012179213,7.530924301,110,0.325443787,The Relic,5.8,6.37E-01,130,0.009236234,Penelope Ann Miller, Tom Sizemore, Linda Hunt, James Whitmore, Clayton Rohner, Chi Muoi Lo,
860,9306,40000000,0.105257271,7.602059991," Fantasy, Horror, Science Fiction",12.725343,2.32E-02,8/23/1996,49627779,0.017800223,7.69572484,96,0.284023669,The Island of Dr. Moreau,4.6,5.05E-01,148,0.010515098,Marlon Brando, Val Kilmer, David Thewlis, Fairuza Balk, Daniel Rigney, Temuera Morrison,"John Frankenheimer, Richard Stanley"
865,10723,25000000,0.065783328,7.397940009," Action, Adventure, Comedy, Thriller",7.859132,1.44E-02,9/6/1996,22611954,0.008110059,7.354338093,84,0.24852071,Bulletproof,5.4,5.93E-01,164,0.011651865,Damon Wayans, Adam Sandler, James Caan, Robert Swenson, James Farentino, Kristen Wilson,Ernest R. Dickerson
870,10987,5000000,0.013151402,6.698970004," Horror, Thriller",8.768288,1.60E-02,9/29/1995,15116634,0.005421602,7.179455098,88,0.26035503,Halloween: The Curse of Michael Myers,5,5.49E-01,173,0.012291297,Donald Pleasence, Paul Rudd, Marianne Hagan, Mitchell Ryan, Kim Darby, Bradford English,Joe Chappelle
878,872,2540800,0.006679781,6.404970481," Comedy, Music, Romance",11.064858,2.02E-02,4/10/1952,7200000,0.002582026,6.857332496,103,0.304733728,Singin' in the Rain,7.9,8.68E-01,747,0.053072824,Gene Kelly, Debbie Reynolds, Jean Hagen, Millard Mitchell, Cyd Charisse, Douglas Fowley,Gene Kelly
879,2769,2723903,0.007161634,6.435191638," Drama, Comedy, Music, Romance",5.565203,1.02E-02,8/8/1951,4500000,0.001613578,6.653212514,113,0.334319527,An American in Paris,6.9,7.58E-01,133,0.009449378,Gene Kelly, Leslie Caron, Oscar Levant, Georges Guétary, Nina Foch, Anna Q. Nilsson,Vincente Minnelli
881,164,2500000,0.006572412,6.397940009," Comedy, Drama, Romance",10.879289,1.99E-02,10/5/1961,9500000,0.003407001,6.977723605,110,0.325443787,Breakfast at Tiffany's,7.6,8.35E-01,1082,0.07687389,Audrey Hepburn, George Peppard, Patricia Neal, Buddy Ebsen, Martin Balsam, Mickey Rooney,Blake Edwards
882,426,2479000,0.006517148,6.394276527," Mystery, Romance, Thriller",18.20822,3.33E-02,5/9/1958,28000000,0.010042669,7.447158031,128,0.378698225,Vertigo,8,8.79E-01,1162,0.082557726,James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore, Henry Jones, Raymond Bailey,Alfred Hitchcock
883,567,1000000,0.002625017,6," Drama, Mystery, Thriller",17.911314,3.27E-02,8/1/1954,36764313,0.013186294,7.565426455,112,0.331360947,Rear Window,8.2,9.01E-01,1531,0.108774423,James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter, Raymond Burr, Judith Evelyn,Alfred Hitchcock
884,3078,325000,0.00084869,5.511883361," Comedy, Romance",6.465257,1.18E-02,2/22/1934,4500000,0.001613578,6.653212514,105,0.310650888,It Happened One Night,7.7,8.46E-01,283,0.020106572,Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns, Jameson Thomas, Alan Hale,Frank Capra
887,213,4000000,0.010519806,6.602059991," Mystery, Thriller",12.410427,2.27E-02,7/7/1959,13275000,0.004761036,7.12303453,136,0.402366864,North by Northwest,7.8,8.57E-01,1062,0.075452931,Cary Grant, Eva Marie Saint, James Mason, Leo G. Carroll, Martin Landau, Adam Williams,
888,284,3000000,0.00788821,6.477121255," Comedy, Drama, Romance",11.994281,2.19E-02,6/15/1960,25000000,0.008966615,7.397940009,125,0.369822485,The Apartment,8.1,8.90E-01,498,0.035381883,Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston, Jack Kruschen, David Lewis,
889,239,2883848,0.007582545,6.459972366," Comedy, Romance",11.845107,2.16E-02,3/18/1959,25000000,0.008966615,7.397940009,122,0.360946746,Some Like It Hot,8,8.79E-01,835,0.059325044,Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft, Pat O’Brien, Joe E. Brown,
890,4808,4000000,0.010519806,6.602059991," Comedy, Mystery, Romance, Thriller",7.098731,1.30E-02,12/5/1963,13474588,0.004832625,7.129515495,113,0.334319527,Charade,7.7,8.46E-01,351,0.024937833,Cary Grant, Audrey Hepburn, Walter Matthau, James Coburn, George Kennedy, Dominique Minot,Stanley Donen
891,289,878000,0.002303963,5.943494516," Drama, Romance",13.916101,2.54E-02,11/26/1942,10462500,0.003752235,7.019635471,102,0.301775148,Casablanca,7.9,8.68E-01,1462,0.103872114,Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Conrad Veidt, Sydney Greenstreet,"Michael Curtiz, Songs, M.K. Jerome"
892,963,375000,0.00098027,5.574031268," Mystery, Crime, Thriller",5.782544,1.06E-02,11/18/1941,1000000,0.000358181,6,100,0.295857988,The Maltese Falcon,7.8,8.57E-01,435,0.030905861,Humphrey Bogart, Mary Astor, Gladys George, Peter Lorre, Barton MacLane, Lee Patrick,John Huston
893,11113,17000000,0.044730557,7.230448921," Drama, Family, Music, Romance",12.494394,2.28E-02,10/21/1964,72070731,0.025850167,7.857758927,170,0.50295858,My Fair Lady,7.4,8.13E-01,361,0.025648313,Audrey Hepburn, Rex Harrison, Stanley Holloway, Wilfrid Hyde-White, Gladys Cooper, Jeremy Brett,George Cukor
894,6620,2238813,0.005885073,6.35001782," Comedy, Drama, Romance",7.359741,1.34E-02,9/28/1954,10000000,0.003586344,7,113,0.334319527,Sabrina,7.4,8.13E-01,284,0.02017762,Humphrey Bogart, Audrey Hepburn, William Holden, Walter Hampden, John Williams, Martha Hyer,Billy Wilder
895,804,1500000,0.003940815,6.176091259," Comedy, Romance",11.954806,2.18E-02,9/2/1953,12000000,0.004303713,7.079181246,119,0.352071006,Roman Holiday,7.8,8.57E-01,502,0.035666075,Gregory Peck, Audrey Hepburn, Eddie Albert, Hartley Power, Harcourt Williams, Margaret Rawlings,William Wyler
898,630,2777000,0.007301364,6.44357588," Adventure, Family, Fantasy",22.064932,4.03E-02,8/15/1939,33754967,0.012106888,7.528337688,102,0.301775148,The Wizard of Oz,7.4,8.13E-01,1689,0.12,Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr, Jack Haley, Billie Burke,Victor Fleming
899,770,4000000,0.010519806,6.602059991," Drama, Romance, War",14.240357,2.60E-02,12/15/1939,400176459,0.143536681,8.602251537,238,0.704142012,Gone with the Wind,7.7,8.46E-01,995,0.070692718,Vivien Leigh, Clark Gable, Olivia de Havilland, Thomas Mitchell, Leslie Howard, Evelyn Keyes,Victor Fleming
901,599,1752000,0.004603978,6.243534102,Drama,11.709777,2.14E-02,8/10/1950,5000000,0.00179292,6.698970004,110,0.325443787,Sunset Boulevard,8.2,9.01E-01,533,0.037868561,William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson, Fred Clark, Lloyd Gough,
902,15,839727,0.002203243,5.924138117," Mystery, Drama",15.811921,2.89E-02,4/30/1941,23217674,0.008327322,7.365818709,119,0.352071006,Citizen Kane,8,8.79E-01,1244,0.088383659,Orson Welles, Joseph Cotten, Dorothy Comingore, Ray Collins, George Coulouris, Agnes Moorehead,Orson Welles
903,62,10500000,0.027625182,7.021189299," Science Fiction, Mystery, Adventure",22.494622,4.11E-02,4/10/1968,68700000,0.024641137,7.836956737,149,0.440828402,2001: A Space Odyssey,7.9,8.68E-01,3075,0.218472469,Keir Dullea, Gary Lockwood, William Sylvester, Douglas Rain, Daniel Richter, Leonard Rossiter,
905,705,1400000,0.003677656,6.146128036,Drama,12.06308,2.20E-02,11/9/1950,63463,2.22596E-05,4.802520598,138,0.408284024,All About Eve,8,8.79E-01,367,0.0260746,Bette Davis, Anne Baxter, George Sanders, Celeste Holm, Gary Merrill, Hugh Marlowe,Joseph L. MankiewiczShort 
906,22490,1688000,0.004435555,6.227372442," Comedy, Drama",5.076649,9.27E-03,1/1/1939,2270000,0.000813711,6.356025857,133,0.393491124,The Women,6.4,7.03E-01,26,0.001847247,Norma Shearer, Joan Crawford, Rosalind Russell, Mary Boland, Paulette Goddard, Joan Fontaine,George Cukor
907,223,1288000,0.003382917,6.109915863," Drama, Mystery",8.590813,1.57E-02,4/12/1940,6000000,0.002151605,6.77815125,130,0.384615385,Rebecca,7.7,8.46E-01,346,0.024582593,Laurence Olivier, Joan Fontaine, George Sanders, Judith Anderson, Nigel Bruce, Reginald Denny,Alfred Hitchcock
909,303,2000000,0.005256614,6.301029996," Thriller, Drama, Romance",10.135111,1.85E-02,8/15/1946,24464742,0.008774626,7.38854064,102,0.301775148,Notorious,7.8,8.57E-01,345,0.024511545,Cary Grant, Ingrid Bergman, Claude Rains, Louis Calhern, Leopoldine Konstantin, Reinhold Schünzel,Alfred Hitchcock
910,4174,1500000,0.003940815,6.176091259," Drama, Mystery, Thriller",5.47596,1.00E-02,12/28/1945,7000000,0.00251029,6.84509804,111,0.328402367,Spellbound,7.3,8.02E-01,166,0.011793961,Ingrid Bergman, Gregory Peck, Michael Chekhov, Rhonda Fleming, Leo G. Carroll, John Emery,Alfred Hitchcock
912,381,2500000,0.006572412,6.397940009," Crime, Drama, Mystery, Romance, Thriller",5.490505,1.00E-02,8/3/1955,8750000,0.003137988,6.942008053,106,0.313609467,To Catch a Thief,7.1,7.80E-01,299,0.021243339,Cary Grant, Grace Kelly, Jessie Royce Landis, Brigitte Auber, John Williams, Charles Vanel,Alfred Hitchcock
915,1859,1365000,0.00358555,6.135132651," Comedy, Romance",5.120036,9.35E-03,10/6/1939,2279000,0.000816939,6.357744325,110,0.325443787,Ninotchka,7.3,8.02E-01,77,0.005470693,Greta Garbo, Melvyn Douglas, Ina Claire, Bela Lugosi, Sig Ruman, Felix Bressart,Ernst Lubitsch
919,10907,2033000,0.005343456,6.308137379," Action, Adventure, Romance",10.685036,1.95E-02,5/13/1938,3981000,0.00142742,6.599992178,102,0.301775148,The Adventures of Robin Hood,7.6,8.35E-01,170,0.012078153,Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains, Patric Knowles, Eugene Pallette,"Michael Curtiz, William Keighley"
921,1939,1020000,0.002677649,6.008600172," Drama, Mystery",9.884516,1.81E-02,10/11/1944,2000000,0.000716866,6.301029996,88,0.26035503,Laura,7.6,8.35E-01,173,0.012291297,Gene Tierney, Dana Andrews, Clifton Webb, Vincent Price, Judith Anderson, Dorothy Adams,Otto Preminger
